Worm	865
CloseHandle,GetSystemMetrics,GetSysColor	2567	2567
GetSystemMetrics,GetSysColor,SystemParametersInfo	2567	2567
GetSysColor,SystemParametersInfo,GetSysColorBrush	2567	2567
SystemParametersInfo,GetSysColorBrush,GetStockObject	2567	2567
GetSysColorBrush,GetStockObject,GetModuleHandle	2567	2567
GetStockObject,GetModuleHandle,GetProcAddress	2567	2567
GetModuleHandle,GetProcAddress,LoadCursor	2567	2584
GetProcAddress,LoadCursor,RegisterClass	2567	2567
LoadLibraryEx,LoadLibrary,GetVersionEx	2050	2050
LoadLibrary,GetVersionEx,GetVersionEx	2427	2427
GetVersionEx,GetVersionEx,GetModuleHandle	2571	3155
GetModuleFileName,GetModuleHandle,GetProcAddress	2223	2235
GetModuleHandle,GetProcAddress,GetCurrentThreadId	1925	2037

Backdoor	582
SearchPath,CreateFile,CreateFileMapping	496	1653
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	416	416
RegisterClipboardFormat,SystemParametersInfo,GetDC	416	416
SystemParametersInfo,GetDC,GetDeviceCaps	416	416
GetDC,GetDeviceCaps,ReleaseDC	438	548
GetDeviceCaps,ReleaseDC,LocalAlloc	426	427
GetSysColor,GetSysColorBrush,GetStockObject	408	497
LoadCursor,RegisterClass,RegisterClassEx	416	416
RegisterClass,RegisterClassEx,LoadLibraryEx	401	401
RegisterClassEx,LoadLibraryEx,LoadLibrary	400	400
FindResourceEx,LoadResource,LoadString	393	497
IsBadWritePtr,RegisterClipboardFormat,SystemParametersInfo	402	402
RegisterClipboardFormat,SystemParametersInfo,GetSystemMetrics	402	402
SystemParametersInfo,GetSystemMetrics,LocalAlloc	403	403
LoadLibraryEx,SearchPath,CreateFile	377	1101
GetVersionEx,GetVersionEx,GetModuleHandle	363	765
GetVersionEx,GetModuleHandle,GetModuleHandle	373	638
GetModuleHandle,GetModuleHandle,GetProcAddress	414	1688
LocalAlloc,lstrlen,LocalFree	376	384
lstrlen,LocalFree,CreateSemaphore	376	376
LocalFree,CreateSemaphore,CreateSemaphore	376	377
CreateFile,CreateFileMapping,CloseHandle	385	1250
CreateFileMapping,CloseHandle,MapViewOfFileEx	385	1251

Packed	965
LocalAlloc,GetSysColor,GetSysColorBrush	605	952
GetSysColor,GetSysColorBrush,GetStockObject	716	1064
GetThreadLocale,lstrcmpi,GlobalAlloc	738	739
lstrcmpi,GlobalAlloc,GlobalFree	692	692
GlobalAlloc,GlobalFree,FindResourceEx	689	689
GlobalFree,FindResourceEx,LoadResource	720	720
FindResourceEx,LoadResource,LoadString	822	865
LoadResource,LoadString,lstrcpy	745	780
LoadString,lstrcpy,lstrcat	713	713
lstrcpy,lstrcat,GetThreadLocale	678	678
lstrcat,GetThreadLocale,lstrcmpi	675	675
GetThreadLocale,lstrcmpi,lstrcpyn	667	667
LocalAlloc,CreateSemaphore,CreateSemaphore	709	711
DeviceIoControl,DuplicateHandle,CreateRemoteThread	619	620
DuplicateHandle,CreateRemoteThread,CreateThread	625	626
SearchPath,CreateFile,CreateFileMapping	819	3614
CreateFile,CreateFileMapping,MapViewOfFileEx	685	3136
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	710	711
RegisterClipboardFormat,SystemParametersInfo,GetDC	710	711
SystemParametersInfo,GetDC,GetDeviceCaps	710	711
GetDC,GetDeviceCaps,ReleaseDC	713	728
GetDeviceCaps,ReleaseDC,LocalAlloc	711	713
ReleaseDC,LocalAlloc,GetSysColor	602	603
GetSysColorBrush,GetStockObject,GetSystemMetrics	602	603
GetStockObject,GetSystemMetrics,LoadCursor	602	603
GetSystemMetrics,LoadCursor,RegisterClass	602	603
LoadCursor,RegisterClass,RegisterClassEx	710	711
RegisterClass,RegisterClassEx,LoadLibraryEx	702	703
RegisterClassEx,LoadLibraryEx,LoadLibrary	701	702
RaiseException,WaitForSingleObjectEx,WaitForSingleObject	606	608
WaitForSingleObjectEx,WaitForSingleObject,OpenFileMapping	646	648
OpenFileMapping,ReleaseMutex,OutputDebugString	646	956
CreateFileMapping,CreateFileMapping,MapViewOfFileEx	672	689
WaitForSingleObject,WaitForSingleObjectEx,ReleaseMutex	599	623

