Worm	865
GetWindowLong,GetClassLong,SetProp	5595	6677

PUP	3137
GlobalAddAtom,lstrcpyn,LoadLibraryEx	1747	1747
lstrcpyn,LoadLibraryEx,SearchPath	2014	2014
LoadLibraryEx,SearchPath,CreateFile	2249	2543
SearchPath,CreateFile,CreateFileMapping	3072	3734
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	3064	3064
RegisterClipboardFormat,SystemParametersInfo,GetDC	3064	3064
SystemParametersInfo,GetDC,GetDeviceCaps	3064	3064
GetDC,GetDeviceCaps,ReleaseDC	3065	3831
GetDeviceCaps,ReleaseDC,LocalAlloc	3064	3064
LoadCursor,RegisterClass,RegisterClassEx	3064	3064
RegisterClass,RegisterClassEx,LoadLibraryEx	2561	2561
RegisterClassEx,LoadLibraryEx,LoadLibrary	2559	2559
GetTempFileName,GetTempFileName,SetFileAttributes	1646	1646
GetTempFileName,SetFileAttributes,SetFileAttributes	1646	1646
SetFileAttributes,SetFileAttributes,DeleteFile	1646	2711
SetFileAttributes,DeleteFile,DeleteFile	1646	2711
DeleteFile,DeleteFile,FindFirstFileEx	1646	1646
DeleteFile,FindFirstFileEx,FindFirstFile	1646	1646
FindFirstFileEx,FindFirstFile,CreateDirectory	1650	1650
FindFirstFile,CreateDirectory,CreateDirectory	1647	1647
CreateDirectory,CreateDirectory,CreateEvent	1646	1646
CreateEvent,FindFirstFile,FindClose	1646	1646
FindFirstFile,FindClose,GetFullPathName	1646	1646
SetFilePointer,ReadFile,CreateDirectory	1646	1646
GetCurrentDirectory,SetCurrentDirectory,SearchPath	1646	1646
FindClose,GetDriveType,FindResourceEx	1665	1665
GetDriveType,FindResourceEx,LoadResource	1665	1665
GetSystemDirectory,GetVersionEx,IsDBCSLeadByte	1712	1713
GetVersionEx,IsDBCSLeadByte,CompareString	1722	1723
IsDBCSLeadByte,CompareString,DisableThreadLibraryCalls	1663	1663
CompareString,DisableThreadLibraryCalls,GetVersionEx	1662	1662
DisableThreadLibraryCalls,GetVersionEx,GetModuleHandle	1672	1672
GetVersionEx,GetModuleHandle,GetModuleHandle	2215	2675
GetModuleHandle,GetModuleHandle,GetProcAddress	2626	6301
GetModuleHandle,GetProcAddress,LocalAlloc	2551	2559
GetProcAddress,LocalAlloc,lstrlen	2551	2561
LocalAlloc,lstrlen,LocalFree	2581	2581
lstrlen,LocalFree,CreateSemaphore	2581	2581
LocalFree,CreateSemaphore,CreateSemaphore	2581	2581
LoadLibraryEx,LoadLibraryEx,LoadLibrary	2561	3269
LoadLibraryEx,LoadLibrary,GetProcAddress	2565	3119
GetStdHandle,GetFileType,LockResource	1802	1980
GetFileType,LockResource,GetCommandLine	1736	1738
LockResource,GetCommandLine,GetEnvironmentStrings	1737	1739
GetCommandLine,GetEnvironmentStrings,FreeEnvironmentStrings	1803	1979
GetACP,GetCPInfo,GetModuleFileName	1777	1803
GetCPInfo,GetModuleFileName,GetModuleFileName	1776	1802
GetACP,GetModuleFileName,GetModuleHandle	2449	2449
CreateFile,CreateFileMapping,CloseHandle	2573	3019
CreateFileMapping,CloseHandle,MapViewOfFileEx	2573	3020
CloseHandle,MapViewOfFileEx,UnmapViewOfFile	2567	2567
MapViewOfFileEx,UnmapViewOfFile,GetSystemMetrics	1745	1745
UnmapViewOfFile,GetSystemMetrics,RegisterClipboardFormat	1745	1745
ReleaseDC,LocalAlloc,LocalFree	2567	2567
LocalAlloc,LocalFree,CloseHandle	2570	2934
LocalFree,CloseHandle,GetSystemMetrics	2567	2567
CloseHandle,GetSystemMetrics,GetSysColor	2567	2567
GetSystemMetrics,GetSysColor,SystemParametersInfo	2567	2567
GetSysColor,SystemParametersInfo,GetSysColorBrush	2567	2567
SystemParametersInfo,GetSysColorBrush,GetStockObject	2567	2567
GetSysColorBrush,GetStockObject,GetModuleHandle	2567	2567
GetStockObject,GetModuleHandle,GetProcAddress	2567	2567
GetModuleHandle,GetProcAddress,LoadCursor	2567	2584
GetProcAddress,LoadCursor,RegisterClass	2567	2567
LoadLibraryEx,LoadLibrary,GetVersionEx	2050	2050
LoadLibrary,GetVersionEx,GetVersionEx	2427	2427
GetVersionEx,GetVersionEx,GetModuleHandle	2571	3155
GetModuleFileName,GetModuleHandle,GetProcAddress	2223	2235
GetStartupInfo,GetStdHandle,GetFileType	1686	1701
GetModuleHandle,GetProcAddress,GetCurrentThreadId	1925	2037

Backdoor	582
SearchPath,CreateFile,CreateFileMapping	496	1653
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	416	416
RegisterClipboardFormat,SystemParametersInfo,GetDC	416	416
SystemParametersInfo,GetDC,GetDeviceCaps	416	416
GetDC,GetDeviceCaps,ReleaseDC	438	548
GetDeviceCaps,ReleaseDC,LocalAlloc	426	427
GetSysColor,GetSysColorBrush,GetStockObject	408	497
LoadCursor,RegisterClass,RegisterClassEx	416	416
RegisterClass,RegisterClassEx,LoadLibraryEx	401	401
RegisterClassEx,LoadLibraryEx,LoadLibrary	400	400
FindResourceEx,LoadResource,LoadString	393	497
IsBadWritePtr,RegisterClipboardFormat,SystemParametersInfo	402	402
RegisterClipboardFormat,SystemParametersInfo,GetSystemMetrics	402	402
SystemParametersInfo,GetSystemMetrics,LocalAlloc	403	403
GetSysColorBrush,GetStockObject,LoadLibrary	322	322
GetStockObject,LoadLibrary,LoadLibraryEx	322	323
LoadLibraryEx,SearchPath,CreateFile	377	1101
GetThreadLocale,CompareString,lstrcmpi	331	620
GetCommandLine,GetEnvironmentStrings,FreeEnvironmentStrings	310	384
GetVersionEx,GetVersionEx,GetModuleHandle	363	765
GetVersionEx,GetModuleHandle,GetModuleHandle	373	638
GetModuleHandle,GetModuleHandle,GetProcAddress	414	1688
GetCurrentThreadId,GetCommandLine,GetEnvironmentStrings	300	301
GetEnvironmentStrings,FreeEnvironmentStrings,GetStartupInfo	303	329
FreeEnvironmentStrings,GetStartupInfo,GetStdHandle	303	329
GetStartupInfo,GetStdHandle,GetFileType	312	389
GetStdHandle,GetFileType,LockResource	312	390
GetFileType,LockResource,GetACP	304	333
LockResource,GetACP,GetCPInfo	301	329
GetACP,GetCPInfo,GetModuleFileName	304	363
GetCPInfo,GetModuleFileName,GetModuleFileName	304	364
LocalAlloc,LocalFree,CloseHandle	331	617
LoadLibraryEx,LoadLibrary,GetProcAddress	330	568
LocalAlloc,lstrlen,LocalFree	376	384
lstrlen,LocalFree,CreateSemaphore	376	376
LocalFree,CreateSemaphore,CreateSemaphore	376	377
CreateFile,CreateFileMapping,CloseHandle	385	1250
CreateFileMapping,CloseHandle,MapViewOfFileEx	385	1251
CloseHandle,MapViewOfFileEx,UnmapViewOfFile	321	321
ReleaseDC,LocalAlloc,LocalFree	322	322
LocalFree,CloseHandle,GetSystemMetrics	323	323
CloseHandle,GetSystemMetrics,GetSysColor	322	322
GetSystemMetrics,GetSysColor,SystemParametersInfo	322	322
GetSysColor,SystemParametersInfo,GetSysColorBrush	322	322
SystemParametersInfo,GetSysColorBrush,GetStockObject	322	322
GetSysColorBrush,GetStockObject,GetModuleHandle	323	323
GetStockObject,GetModuleHandle,GetProcAddress	323	323
GetModuleHandle,GetProcAddress,LoadCursor	323	360
GetProcAddress,LoadCursor,RegisterClass	323	323
LoadLibraryEx,LoadLibraryEx,LoadLibrary	336	491
GetModuleHandle,GetProcAddress,LocalAlloc	301	304
GetProcAddress,LocalAlloc,lstrlen	304	317

Packed	965
LocalAlloc,GetSysColor,GetSysColorBrush	605	952
GetSysColor,GetSysColorBrush,GetStockObject	716	1064
GetThreadLocale,lstrcmpi,GlobalAlloc	738	739
lstrcmpi,GlobalAlloc,GlobalFree	692	692
GlobalAlloc,GlobalFree,FindResourceEx	689	689
GlobalFree,FindResourceEx,LoadResource	720	720
FindResourceEx,LoadResource,LoadString	822	865
LoadResource,LoadString,lstrcpy	745	780
LoadString,lstrcpy,lstrcat	713	713
lstrcpy,lstrcat,GetThreadLocale	678	678
lstrcat,GetThreadLocale,lstrcmpi	675	675
GetThreadLocale,lstrcmpi,lstrcpyn	667	667
LocalAlloc,CreateSemaphore,CreateSemaphore	709	711
CreateEvent,CreateFile,DeviceIoControl	556	557
CreateFile,DeviceIoControl,DuplicateHandle	558	559
DeviceIoControl,DuplicateHandle,CreateRemoteThread	619	620
DuplicateHandle,CreateRemoteThread,CreateThread	625	626
CreateRemoteThread,CreateThread,SetEvent	564	565
GlobalAddAtom,lstrcpyn,SearchPath	499	499
SearchPath,CreateFile,CreateFileMapping	819	3614
CreateFile,CreateFileMapping,MapViewOfFileEx	685	3136
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	710	711
RegisterClipboardFormat,SystemParametersInfo,GetDC	710	711
SystemParametersInfo,GetDC,GetDeviceCaps	710	711
GetDC,GetDeviceCaps,ReleaseDC	713	728
GetDeviceCaps,ReleaseDC,LocalAlloc	711	713
ReleaseDC,LocalAlloc,GetSysColor	602	603
GetSysColorBrush,GetStockObject,GetSystemMetrics	602	603
GetStockObject,GetSystemMetrics,LoadCursor	602	603
GetSystemMetrics,LoadCursor,RegisterClass	602	603
LoadCursor,RegisterClass,RegisterClassEx	710	711
RegisterClass,RegisterClassEx,LoadLibraryEx	702	703
RegisterClassEx,LoadLibraryEx,LoadLibrary	701	702
RaiseException,WaitForSingleObjectEx,WaitForSingleObject	606	608
WaitForSingleObjectEx,WaitForSingleObject,OpenFileMapping	646	648
WaitForSingleObject,OpenFileMapping,ReleaseMutex	540	542
OpenFileMapping,ReleaseMutex,OutputDebugString	646	956
LoadLibraryEx,DeviceIoControl,WaitForMultipleObjectsEx	497	497
DeviceIoControl,WaitForMultipleObjectsEx,GetOverlappedResult	572	573
GetWindowDC,GetDeviceCaps,ReleaseDC	494	495
CreateFileMapping,CreateFileMapping,MapViewOfFileEx	672	689
CreateFileMapping,MapViewOfFileEx,LoadLibraryEx	545	877
IsDebuggerPresent,LoadLibrary,GetProcessWindowStation	495	496
LoadLibrary,GetProcessWindowStation,GetUserObjectInformation	495	496
WaitForSingleObject,WaitForSingleObjectEx,ReleaseMutex	599	623
LoadLibrary,LoadLibraryEx,GetSystemTime	575	576
LoadLibraryEx,GetSystemTime,SystemTimeToFileTime	574	575

